"School Name","School ID","Network","Grade","Year","Number of
Students","Value-Added
Score","95% Confidence
Interval Range","Percentile","Color Reading","Number of
Students","Value-Added
Score","95% Confidence
Interval Range","Percentile","Color Math"
"ADDAMS",609772,"Lake Calumet Elementary Network",4,2012,51.6,-0.2,"-1 to 0.6",38,"Yellow",51.6,0.5,"-0.1 to 1.2",73,"Yellow"
"ADDAMS",609772,"Lake Calumet Elementary Network",5,2012,61.0,1.8,"0.8 to 2.8",96,"Green",61.0,1.8,"1.1 to 2.5",95,"Green"
"ADDAMS",609772,"Lake Calumet Elementary Network",6,2012,72.3,0.3,"-0.6 to 1.2",63,"Yellow",72.3,-0.5,"-1 to 0.1",37,"Yellow"
"ADDAMS",609772,"Lake Calumet Elementary Network",7,2012,108.9,-0.1,"-1 to 0.7",47,"Yellow",108.9,0.0,"-0.4 to 0.4",52,"Yellow"
"ADDAMS",609772,"Lake Calumet Elementary Network",8,2012,100.7,1.3,"0.3 to 2.2",89,"Green",100.7,2.4,"1.9 to 3",98,"Green"
"ADDAMS",609772,"Lake Calumet Elementary Network","All Grades",2012,394.5,1.0,"0.3 to 1.7",84,"Green",394.5,1.4,"1 to 1.8",92,"Green"
"ADDAMS",609772,"Lake Calumet",4,2011,48.9,-0.1,"-1 to 0.7",39,"yellow",48.9,-0.1,"-0.8 to 0.5",44,"yellow"
"ADDAMS",609772,"Lake Calumet",5,2011,69.6,0.6,"-0.3 to 1.5",73,"yellow",69.6,1.8,"1.2 to 2.5",94,"green"
"ADDAMS",609772,"Lake Calumet",6,2011,100,0.3,"-0.5 to 1",58,"yellow",99.9,-0.3,"-0.7 to 0.2",39,"yellow"
"ADDAMS",609772,"Lake Calumet",7,2011,95.7,-1.2,"-2 to -0.4",9,"red",95.7,-0.1,"-0.6 to 0.3",46,"yellow"
"ADDAMS",609772,"Lake Calumet",8,2011,80,-0.3,"-1.3 to 0.7",40,"yellow",80,1,"0.4 to 1.6",84,"green"
"ADDAMS",609772,"Lake Calumet","All Grades",2011,394.2,-0.4,"-1.1 to 0.2",32,"yellow",394.1,0.5,"0.1 to 1",72,"green"
"ADDAMS",609772,"Lake Calumet",4,2010,55.9,0.7,"-0.1 to 1.5",81,"yellow",55.9,-0.2,"-0.9 to 0.4",39,"yellow"
"ADDAMS",609772,"Lake Calumet",5,2010,85.9,-0.3,"-1.1 to 0.5",35,"yellow",85.9,-0.2,"-0.8 to 0.3",43,"yellow"
"ADDAMS",609772,"Lake Calumet",6,2010,87.1,1.6,"0.8 to 2.4",96,"green",87.1,-0.5,"-1 to 0.1",33,"yellow"
"ADDAMS",609772,"Lake Calumet",7,2010,72.8,-0.1,"-1.1 to 0.9",49,"yellow",72.8,0.4,"-0.2 to 1.1",66,"yellow"
"ADDAMS",609772,"Lake Calumet",8,2010,89.9,-0.2,"-1.2 to 0.8",42,"yellow",89.9,1.1,"0.5 to 1.7",87,"green"
"ADDAMS",609772,"Lake Calumet","All Grades",2010,391.5,0.5,"-0.1 to 1.1",71,"yellow",391.5,0.2,"-0.2 to 0.7",60,"yellow"
"AGASSIZ",609773,"Ravenswood-Ridge Elementary Network",4,2012,32.0,0.9,"-0.1 to 1.8",82,"Yellow",32.0,0.7,"0 to 1.5",80,"Yellow"
"AGASSIZ",609773,"Ravenswood-Ridge Elementary Network",5,2012,24.0,-1.0,"-2.3 to 0.3",14,"Yellow",24.0,-1.5,"-2.5 to -0.5",5,"Red"
"AGASSIZ",609773,"Ravenswood-Ridge Elementary Network",6,2012,23.0,0.9,"-0.4 to 2.2",85,"Yellow",23.0,0.3,"-0.6 to 1.1",64,"Yellow"
"AGASSIZ",609773,"Ravenswood-Ridge Elementary Network",7,2012,22.2,0.6,"-0.8 to 2",74,"Yellow",21.2,-0.5,"-1.4 to 0.3",31,"Yellow"
"AGASSIZ",609773,"Ravenswood-Ridge Elementary Network",8,2012,20.0,1.4,"-0.1 to 2.8",91,"Yellow",20.0,0.4,"-0.6 to 1.4",71,"Yellow"
"AGASSIZ",609773,"Ravenswood-Ridge Elementary Network","All Grades",2012,121.1,1.1,"0 to 2.1",88,"Green",120.2,-0.2,"-0.8 to 0.5",44,"Yellow"
"AGASSIZ",609773,"Ravenswood-Ridge",4,2011,19,1.8,"0.6 to 3",97,"green",19,1.1,"0.2 to 2.1",87,"green"
"AGASSIZ",609773,"Ravenswood-Ridge",5,2011,24,-2.3,"-3.6 to -1.1",1,"red",24,-0.3,"-1.3 to 0.7",39,"yellow"
"AGASSIZ",609773,"Ravenswood-Ridge",6,2011,23,0.6,"-0.6 to 1.8",70,"yellow",23,-0.3,"-1.1 to 0.6",40,"yellow"
"AGASSIZ",609773,"Ravenswood-Ridge",7,2011,22,-1.1,"-2.4 to 0.1",12,"yellow",22,-0.3,"-1.2 to 0.6",40,"yellow"
"AGASSIZ",609773,"Ravenswood-Ridge",8,2011,28,-1,"-2.4 to 0.3",14,"yellow",28,0.5,"-0.4 to 1.4",72,"yellow"
"AGASSIZ",609773,"Ravenswood-Ridge","All Grades",2011,116,-0.9,"-1.9 to 0.1",16,"yellow",116,0.2,"-0.5 to 0.9",57,"yellow"
"AGASSIZ",609773,"Ravenswood-Ridge",4,2010,23.4,2.1,"1 to 3.2",98,"green",23.4,0.2,"-0.7 to 1.1",59,"yellow"
"AGASSIZ",609773,"Ravenswood-Ridge",5,2010,23.5,-0.6,"-1.9 to 0.6",25,"yellow",23.5,-1.7,"-2.6 to -0.8",3,"red"
"AGASSIZ",609773,"Ravenswood-Ridge",6,2010,21.8,1.4,"0.1 to 2.7",93,"green",21.8,-1.1,"-2.1 to -0.2",11,"red"
"AGASSIZ",609773,"Ravenswood-Ridge",7,2010,27.4,1.4,"0.1 to 2.7",92,"green",27.4,0.4,"-0.5 to 1.4",66,"yellow"
"AGASSIZ",609773,"Ravenswood-Ridge",8,2010,26,-1,"-2.4 to 0.4",14,"yellow",26,-1,"-2 to 0",15,"yellow"
"AGASSIZ",609773,"Ravenswood-Ridge","All Grades",2010,122.1,1.1,"0.1 to 2.1",91,"green",122.1,-1.2,"-1.9 to -0.4",10,"red"
"ALBANY PARK",610212,"O'Hare Elementary Network",7,2012,112.1,-0.4,"-1.2 to 0.5",36,"Yellow",112.1,0.8,"0.3 to 1.2",81,"Green"
"ALBANY PARK",610212,"O'Hare Elementary Network",8,2012,127.0,-0.5,"-1.3 to 0.4",33,"Yellow",127.0,-0.6,"-1 to -0.1",27,"Red"
"ALBANY PARK",610212,"O'Hare Elementary Network","All Grades",2012,239.1,-0.6,"-1.5 to 0.3",24,"Yellow",239.1,0.2,"-0.3 to 0.7",60,"Yellow"
"ALBANY PARK",610212,"O'Hare",7,2011,119.7,-0.2,"-1 to 0.5",40,"yellow",119.7,0.7,"0.2 to 1.2",77,"green"
